DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE 
Dissolutional potholes,basins,,sharp-edged|rounded-interior,,in stream beds,,"Dissolutional potholes are sharp-edged, rounded-interior basins in stream beds."
Scallops,spoon-shaped hollows,,,,,,Scallops are spoon-shaped hollows.
anastamose,reticulate pattern,,pattern of interweaving channels|reticulate pattern,,in caves,,The term anastamose refers to a reticulate pattern (such as in the veins of a leaf); in caves it applies to a pattern of interweaving channels.
Pendants,positive forms,,,,hanging from passage ceilings,typically B10 — 100 cm in dimension,"Pendants are positive forms hanging from passage ceilings, typically B10 — 100 cm in dimension."
Cupolas,features of thermal caves,,,,of thermal caves,,Cupolas are characteristic features of thermal caves.
cutter,grike,,often with a complex curved cross section|some cavernous karren|remnant rounded pinnacles,,has formed under an acidic soil cover,,"A cutter is a deep grike that has formed under an acidic soil cover, often with a complex curved cross section, some cavernous karren, and remnant rounded pinnacles."
sinkhole plains,Regions where closed depressions are the dominant landform,,,,,,Regions where closed depressions are the dominant landform are not typically dissected by surface streams and are known as sinkhole plains or doline karst.
doline karst,Regions where closed depressions are the dominant landform,,,,,,Regions where closed depressions are the dominant landform are not typically dissected by surface streams and are known as sinkhole plains or doline karst.
Caves,fragments of conduit systems|cavities fissures,,,are accessible to human exploration,subterranean,,"Caves are natural subterranean cavities, fissures, and fragments of conduit systems that are accessible to human exploration. subterranean"
Aragonite,polymorph of calcite,,"occurs as short to long prismatic ( along c ) , acicular or tabular ( chisel-shaped ) crystals , often twinned|orthorhombic",,,,"Aragonite is the metastable, orthorhombic polymorph of calcite and occurs as short to long prismatic (along c), acicular or tabular (chisel-shaped) crystals, often twinned."
wad,composite mixtures,,,,,,"The term wad is frequently used as a field term for composite mixtures consisting mainly of manganese oxides, in much the same sense as limonite is used for hydrous iron oxides."
The fracture aperture,function,,,,,,The fracture aperture d (m) is a function in time of the initial aperture di (m) and the calcium flux rate F in a given fracture.
Knickpoints,changes in the gradient,may form as a response to a sudden drop in the water table,,,,,"Knickpoints are sudden changes in the gradient of a river ’ s long profile, such as rapids or waterfalls, and may form as a response to a sudden drop in the water table."
room,passage,,"are circular , oval , or irregular in shape",,where passages intersect,is wide relative to its length,"A room is a type of passage that is wide relative to its length; rooms often form where passages intersect and are circular, oval, or irregular in shape."
Pits,vadose passage,,form of vadose passage,,,,Pits are the ultimate form of vadose passage.
flute,parallel crested forms,,"elongate , nearly parallel crested forms",,in some cave passages,,"The term flute has been used for the elongate, nearly parallel crested forms seen in some cave passages."
lampenflora,green plants,,,,on cave walls or formations close to a light source .,,"The result is the so-called lampenflora, that is, green plants (generally algae, fern, moss) developing on cave walls or formations close to a light source."
Visitor capacity,the number of visitors,,,,,,"Visitor capacity is defined as the number of visitors to a given cave over a given time period, which does not permanently change the environmental parameters beyond their natural fluctuation range."
Allogeneic waters,stream flow,derived from nonlocal sources,,,,,Allogeneic waters are defined as stream flow derived from nonlocal sources. derived from nonlocal sources
Base level,the lowest level of master stream erosion|sea level,,,,,,Base level refers to sea level or the lowest level of master stream erosion.
cover-collapse sinkhole,subsidence sinkhole,,,,,,A cover-collapse sinkhole is a subtype of a subsidence sinkhole.
suffosion dolines,depressions,,depressions,,,usually only a few meters in diameter and depth|small,"According to European usage, suffosion dolines are small depressions usually only a few meters in diameter and depth."
sinkhole,process,,may have different forms and surface expressions,,,,"According to this concept, a sinkhole is part of a long-term process and it may have different forms and surface expressions at different times."
cave system,several interconnected caves,,,,,,A cave system is a group of several interconnected caves explored separately and later joined by the discovery of interconnecting passages.
Hypogene speleogenesis,formation of solution-enlarged permeability structures,"that recharges the cavernous zone from below , independent of recharge from the overlying or immediately adjacent surface water",,,,,"Hypogene speleogenesis is defined as the formation of solution-enlarged permeability structures by water that recharges the cavernous zone from below, independent of recharge from the overlying or immediately adjacent surface (Ford, 2006; Klimchouk, 2007). water"
vertical through structures,vertically extended collapse features,by-product of hypogene speleogenesis,vertically extended collapse features,,,,"Fossil vertically extended collapse features known as breccia pipes, collapse columns, or geologic organs, and also termed vertical through structures, are a common by-product of hypogene speleogenesis in a variety of geological settings."
